price_history_id,property_id,change_date,new_price
1,1,2015-01-01,11770469
2,1,2022-10-05,11517304
3,1,2025-11-03,11285686
4,2,2015-01-01,7071494
5,2,2020-07-25,6874266
6,3,2015-01-01,12619072
7,4,2015-01-01,11490048
8,5,2015-01-01,4880776
9,5,2017-06-22,4788415
10,5,2019-07-17,4775473
11,5,2023-09-30,4219671
12,6,2015-01-01,3233386
13,7,2015-01-01,2752394
14,7,2022-11-11,3040549
15,8,2015-01-01,13189412
16,8,2022-03-14,11700307
17,9,2015-01-01,16040333
18,9,2023-10-20,15361794
19,10,2015-01-01,8728292
20,10,2016-08-02,9648702
21,10,2022-02-05,9577772
22,11,2015-01-01,5736076
23,12,2015-01-01,18747757
24,12,2017-12-20,22333639
25,12,2026-02-01,21626078
26,13,2015-01-01,16476783
27,14,2015-01-01,11075733
28,14,2022-08-22,13755981
29,14,2023-03-04,14220725
30,15,2015-01-01,9722725
31,16,2015-01-01,7817406
32,17,2015-01-01,8763422
33,17,2024-09-15,9321881
34,18,2015-01-01,8457322
35,19,2015-01-01,18778854
36,20,2015-01-01,3789912
37,20,2018-05-11,3325492
38,20,2019-02-09,3094089
39,21,2015-01-01,18487416
40,21,2018-11-06,22964351
41,21,2019-01-25,23443148
42,21,2020-08-04,20277709
43,22,2015-01-01,16919372
44,22,2022-06-01,20402220
45,23,2015-01-01,19683657
46,24,2015-01-01,6841433
47,24,2025-06-21,7115686
48,25,2015-01-01,1323554
49,26,2015-01-01,19617741
50,26,2020-04-14,19154524
51,27,2015-01-01,3100335
52,27,2017-08-19,2786862
53,28,2015-01-01,11258581
54,28,2015-05-04,13315443
55,29,2015-01-01,8137258
56,29,2016-08-05,9289293
57,29,2019-07-22,9689219
58,29,2024-05-19,11358776
59,30,2015-01-01,18175100
60,31,2015-01-01,18175978
61,31,2019-05-13,16230275
62,32,2015-01-01,15255794
63,32,2020-06-14,14114608
64,33,2015-01-01,10368945
65,33,2021-09-12,10873141
66,33,2022-08-14,12439833
67,34,2015-01-01,15854314
68,34,2016-06-05,19396265
69,34,2021-06-08,21083661
70,35,2015-01-01,14337567
71,35,2022-01-17,12561454
72,36,2015-01-01,11415015
73,37,2015-01-01,14289359
74,38,2015-01-01,9621896
75,38,2017-12-24,10599884
76,38,2026-05-16,10833130
77,39,2015-01-01,12457330
78,40,2015-01-01,1972848
79,40,2024-10-14,1765435
80,41,2015-01-01,18859882
81,41,2021-03-11,18597988
82,42,2015-01-01,8646217
83,42,2015-11-26,9186749
84,43,2015-01-01,8850144
85,43,2019-10-15,9943165
86,43,2022-01-19,9805474
87,44,2015-01-01,4194370
88,44,2015-03-28,4471706
89,44,2016-02-10,4533592
90,45,2015-01-01,18517669
91,46,2015-01-01,10646558
92,47,2015-01-01,10892150
93,47,2018-08-21,12465510
94,48,2015-01-01,18267103
95,48,2016-04-28,17701120
96,48,2024-02-05,20363953
97,49,2015-01-01,16361929
98,49,2020-03-22,16774514
99,50,2015-01-01,19825378
100,50,2016-01-27,19793143
101,50,2025-10-28,22961077
102,50,2026-01-25,24019842
103,51,2015-01-01,12694708
104,51,2019-03-07,11432439
105,51,2023-04-14,12087804
106,52,2015-01-01,4729973
107,52,2018-01-27,4117615
108,52,2026-05-16,3736256
109,53,2015-01-01,15801107
110,53,2021-12-09,16355793
111,53,2025-11-11,17427510
112,54,2015-01-01,3482312
113,54,2017-05-23,3376783
114,54,2021-04-09,3600255
115,55,2015-01-01,16161677
116,55,2018-08-10,16724892
117,55,2019-05-08,20412598
118,56,2015-01-01,18754351
119,57,2015-01-01,9814485
120,57,2021-04-14,11525680
121,57,2022-04-13,13438516
122,57,2025-10-17,15695138
123,58,2015-01-01,7915926
124,58,2021-02-27,9136718
125,59,2015-01-01,6364547
126,59,2019-10-15,6405836
127,60,2015-01-01,18561385
128,61,2015-01-01,7114463
129,61,2016-01-30,7863460
130,61,2022-04-22,7344220
131,62,2015-01-01,17870413
132,62,2017-03-03,18295138
133,63,2015-01-01,18997794
134,64,2015-01-01,3748645
135,64,2026-03-19,4100649
136,65,2015-01-01,17498180
137,65,2016-01-18,15431899
138,65,2018-10-01,18951976
139,66,2015-01-01,12293058
140,66,2024-03-19,14813174
141,67,2015-01-01,1760474
142,67,2019-10-09,1931025
143,67,2021-12-31,2349609
144,68,2015-01-01,6601038
145,68,2017-12-14,6786645
146,68,2022-09-28,7335256
147,69,2015-01-01,13428780
148,69,2022-05-30,14423981
149,70,2015-01-01,15268198
150,70,2015-11-18,16551954
151,70,2019-06-06,15532427
152,70,2020-02-25,18106576
153,71,2015-01-01,4000781
154,71,2016-04-18,4452057
155,72,2015-01-01,17931316
156,72,2025-03-29,15389856
157,73,2015-01-01,16592054
158,73,2017-12-10,14182149
159,73,2023-09-23,16798100
160,73,2025-07-04,16417904
161,74,2015-01-01,5245861
162,74,2023-09-05,4500896
163,75,2015-01-01,5078134
164,76,2015-01-01,9091017
165,76,2016-12-12,8017623
166,76,2025-03-27,7612315
167,77,2015-01-01,18872374
168,78,2015-01-01,16915221
169,78,2020-02-08,18750984
170,79,2015-01-01,11574649
171,79,2018-07-29,10965124
172,80,2015-01-01,15314049
173,81,2015-01-01,2982087
174,81,2020-09-06,2926131
175,82,2015-01-01,18952006
176,82,2018-08-10,22595227
177,82,2020-10-11,25687870
178,83,2015-01-01,2433327
179,84,2015-01-01,3046704
180,84,2019-06-17,2954494
181,84,2025-11-24,3355872
182,85,2015-01-01,7931811
183,85,2018-01-24,9615819
184,86,2015-01-01,18815042
185,86,2020-10-31,18846008
186,87,2015-01-01,14490793
187,88,2015-01-01,15759614
188,89,2015-01-01,12699724
189,89,2025-09-17,13840585
190,90,2015-01-01,9232446
191,91,2015-01-01,9119987
192,91,2017-02-18,7972158
193,91,2022-04-24,6799021
194,92,2015-01-01,12202596
195,92,2024-01-25,15133306
196,93,2015-01-01,15435177
197,94,2015-01-01,10794497
198,94,2026-05-15,10238840
199,95,2015-01-01,12217657
200,95,2022-03-12,14394410
201,95,2025-12-31,13613707
202,96,2015-01-01,17352531
203,96,2015-01-15,17228067
204,97,2015-01-01,4881917
205,98,2015-01-01,10736735
206,99,2015-01-01,2428993
207,99,2023-06-13,2879152
208,100,2015-01-01,9052533
209,100,2023-09-12,8352630
210,101,2015-01-01,1945330
211,101,2016-06-10,2077380
212,101,2019-03-22,2116288
213,102,2015-01-01,13690632
214,102,2023-08-16,13516024
215,103,2015-01-01,9367603
216,104,2015-01-01,18489912
217,105,2015-01-01,9552602
218,106,2015-01-01,14831427
219,107,2015-01-01,4517950
220,107,2019-10-30,5099081
221,108,2015-01-01,11849148
222,108,2022-09-25,11042162
223,109,2015-01-01,18965486
224,109,2016-03-29,20936481
225,109,2020-08-31,20305146
226,110,2015-01-01,9912090
227,111,2015-01-01,13526036
228,111,2015-09-27,11699877
229,111,2019-03-02,13077087
230,111,2019-05-18,13976073
231,112,2015-01-01,5542227
232,112,2022-11-18,5185292
233,113,2015-01-01,9860341
234,114,2015-01-01,15082742
235,115,2015-01-01,5507061
236,115,2016-07-02,5802482
237,115,2019-08-25,5169892
238,115,2025-07-09,5704996
239,116,2015-01-01,10079433
240,116,2023-07-23,10699796
241,117,2015-01-01,8714725
242,117,2020-05-25,10176173
243,118,2015-01-01,1725035
244,118,2015-04-25,1863129
245,119,2015-01-01,2506714
246,119,2021-05-14,2533918
247,120,2015-01-01,1120587
248,120,2024-02-11,1030103
249,121,2015-01-01,19004672
250,121,2017-05-10,18268960
251,121,2026-05-25,20013032
252,122,2015-01-01,16245279
253,122,2015-11-18,19469439
254,122,2019-06-07,22424111
255,123,2015-01-01,12764351
256,124,2015-01-01,8956745
257,124,2020-05-13,10360873
258,124,2020-11-18,11034899
259,125,2015-01-01,16222790
260,126,2015-01-01,17473883
261,127,2015-01-01,9921521
262,127,2019-08-02,8517716
263,127,2022-02-08,10537556
264,128,2015-01-01,19548748
265,128,2016-04-30,24319575
266,128,2017-03-25,28345303
267,128,2020-12-23,32682802
268,129,2015-01-01,10092885
269,129,2016-01-05,11670066
270,129,2021-10-30,10083472
271,130,2015-01-01,11236345
272,130,2015-05-24,12205581
273,130,2025-06-29,14085273
274,130,2026-04-05,17049636
275,131,2015-01-01,18020724
276,131,2025-09-03,19270473
277,132,2015-01-01,15870903
278,132,2025-12-19,15770244
279,133,2015-01-01,18178838
280,134,2015-01-01,8852959
281,135,2015-01-01,10528273
282,135,2016-11-06,10842045
283,135,2022-04-30,12812695
284,136,2015-01-01,4163951
285,137,2015-01-01,1282821
286,137,2016-08-17,1409917
287,138,2015-01-01,4782157
288,138,2020-12-07,4732626
289,138,2025-01-25,4993206
290,138,2025-08-14,5516325
291,139,2015-01-01,15063707
292,139,2018-09-19,13926636
293,139,2022-09-24,12549103
294,139,2025-11-15,11335555
295,140,2015-01-01,9875394
296,140,2017-08-24,12225297
297,140,2022-06-24,14909139
298,141,2015-01-01,3275664
299,141,2020-08-01,3007564
300,142,2015-01-01,8806229
301,142,2015-01-07,9638287
302,142,2019-01-21,10984413
303,143,2015-01-01,12948715
304,143,2018-12-12,11700202
305,144,2015-01-01,10010403
306,144,2017-01-08,8774257
307,144,2020-05-15,7656757
308,145,2015-01-01,17600985
309,145,2024-02-08,20866781
310,146,2015-01-01,10130543
311,147,2015-01-01,8217272
312,148,2015-01-01,13456459
313,148,2019-08-23,12730876
314,148,2020-04-06,13626306
315,148,2021-06-10,11992693
316,149,2015-01-01,17197435
317,149,2018-11-17,16747318
318,149,2025-02-20,20631031
319,150,2015-01-01,5846698
320,151,2015-01-01,10296183
321,151,2019-04-05,10669382
322,152,2015-01-01,19724075
323,152,2019-08-14,22638573
324,153,2015-01-01,9581858
325,153,2017-03-04,10345862
326,153,2024-04-22,9641044
327,154,2015-01-01,6954437
