property_id,address,property_type,area,rooms,floor,build_year,cadastral_number,owner_info
1,"клх Муравленко, пер. Тельмана, д. 2/1 стр. 223, 775331",Коммерческое,77.1,4,20,2014,64:80:567574:919,"[{""owner_id"": 287, ""share"": 1.0}]"
2,"ст. Радужный, ул. Сплавная, д. 801, 902517",Дом,66.7,2,21,1985,76:72:757193:245,"[{""owner_id"": 244, ""share"": 1.0}]"
3,"клх Хужир, алл. Привольная, д. 8 стр. 5/4, 268319",Коммерческое,71.4,3,11,1990,79:20:245095:155,"[{""owner_id"": 40, ""share"": 1.0}]"
4,"п. Асбест, ул. Терешковой, д. 9/2, 287339",Коммерческое,58.5,4,14,1992,79:69:535970:64,"[{""owner_id"": 79, ""share"": 1.0}]"
5,"к. Южно-Сахалинск, ш. Придорожное, д. 776 стр. 391, 117309",Дом,182.9,5,23,1952,83:58:600149:7,"[{""owner_id"": 216, ""share"": 1.0}]"
6,"п. Льгов, пр. Фурманова, д. 224 к. 98, 690819",Коммерческое,181.6,4,8,1984,65:72:130434:399,"[{""owner_id"": 153, ""share"": 0.53}, {""owner_id"": 200, ""share"": 0.3}, {""owner_id"": 215, ""share"": 0.17}]"
7,"клх Артем, наб. 60 лет СССР, д. 4, 023850",Коммерческое,49.7,4,5,2018,13:60:720644:578,"[{""owner_id"": 208, ""share"": 1.0}]"
8,"г. Фатеж, бул. Парковый, д. 2 стр. 2/9, 240107",Коммерческое,97.2,4,6,1956,43:58:443254:217,"[{""owner_id"": 43, ""share"": 1.0}]"
9,"с. Сосногорск, ш. Курское, д. 400 к. 1/9, 066266",Дом,70.1,4,9,1960,70:12:885408:553,"[{""owner_id"": 173, ""share"": 1.0}]"
10,"с. Геленджик, наб. Есенина, д. 75 стр. 233, 368900",Квартира,137.0,1,25,1953,41:35:979995:21,"[{""owner_id"": 180, ""share"": 1.0}]"
11,"г. Березники, пр. Осенний, д. 1, 593429",Квартира,105.2,1,19,1977,69:99:368690:786,"[{""owner_id"": 123, ""share"": 1.0}]"
12,"клх Горячий Ключ, ул. Магистральная, д. 9 стр. 67, 745843",Квартира,193.6,1,19,1953,49:83:810250:930,"[{""owner_id"": 59, ""share"": 1.0}]"
13,"клх Урай, ул. Трактовая, д. 7 стр. 5/2, 283483",Квартира,38.3,3,22,1965,82:15:464069:546,"[{""owner_id"": 204, ""share"": 0.57}, {""owner_id"": 102, ""share"": 0.29}, {""owner_id"": 39, ""share"": 0.14}]"
14,"клх Дмитров, алл. Щетинкина, д. 2/1, 044964",Квартира,111.1,3,1,2003,72:23:554582:984,"[{""owner_id"": 190, ""share"": 1.0}]"
15,"к. Шуя, пр. Степной, д. 7/8 к. 733, 680408",Коммерческое,47.5,2,24,2016,93:44:745830:828,"[{""owner_id"": 236, ""share"": 1.0}]"
16,"д. Нарым, ш. Полтавское, д. 759 к. 1/2, 487699",Дом,173.3,1,9,2007,41:69:697530:625,"[{""owner_id"": 248, ""share"": 0.76}, {""owner_id"": 239, ""share"": 0.12}, {""owner_id"": 224, ""share"": 0.12}]"
17,"с. Снежинск, алл. Шахтерская, д. 244 стр. 58, 960945",Квартира,109.0,3,6,2012,37:55:936587:265,"[{""owner_id"": 173, ""share"": 1.0}]"
18,"ст. Шилка, ул. Дзержинского, д. 5, 770707",Коммерческое,21.8,2,3,1980,62:72:682144:777,"[{""owner_id"": 142, ""share"": 1.0}]"
19,"с. Усть-Кулом, пр. Майский, д. 949, 172444",Коммерческое,148.1,4,1,1961,47:38:524045:709,"[{""owner_id"": 244, ""share"": 1.0}]"
20,"п. Ясный (Оренб.), алл. Клубная, д. 11, 879508",Дом,105.2,5,12,2004,80:52:468900:720,"[{""owner_id"": 298, ""share"": 1.0}]"
21,"клх Кропоткин (Краснод.), ул. К.Маркса, д. 693 к. 818, 813359",Дом,61.5,2,11,1965,78:98:294143:197,"[{""owner_id"": 157, ""share"": 1.0}]"
22,"г. Россошь, алл. Восточная, д. 6 к. 7, 749025",Дом,150.4,5,20,1986,22:34:410636:233,"[{""owner_id"": 248, ""share"": 1.0}]"
23,"п. Чокурдах, ул. Ульяновская, д. 9, 369026",Квартира,147.4,2,9,1955,16:80:406327:715,"[{""owner_id"": 155, ""share"": 1.0}]"
24,"п. Хабаровск, пер. Правды, д. 880 стр. 6/5, 943535",Дом,81.3,1,9,2011,24:18:520172:504,"[{""owner_id"": 252, ""share"": 0.56}, {""owner_id"": 53, ""share"": 0.21}, {""owner_id"": 7, ""share"": 0.23}]"
25,"к. Гатчина, алл. 9 Января, д. 6/2 стр. 9, 579376",Квартира,46.9,5,10,1960,41:25:685181:783,"[{""owner_id"": 28, ""share"": 1.0}]"
26,"д. Костомукша, бул. Придорожный, д. 5 к. 6, 166829",Коммерческое,88.5,4,10,2004,49:82:751194:62,"[{""owner_id"": 116, ""share"": 1.0}]"
27,"п. Серафимович, алл. Киевская, д. 5/9, 120602",Квартира,132.6,3,22,1960,30:40:282256:566,"[{""owner_id"": 51, ""share"": 1.0}]"
28,"д. Туруханск, пр. 40 лет Октября, д. 96 к. 24, 599910",Дом,101.1,5,16,1987,14:39:402099:724,"[{""owner_id"": 2, ""share"": 1.0}]"
29,"с. Поронайск, пр. Спартака, д. 8 стр. 92, 209957",Квартира,143.7,3,21,1975,64:24:671015:231,"[{""owner_id"": 233, ""share"": 1.0}]"
30,"с. Игнашино, бул. Заливный, д. 834 стр. 1, 456522",Квартира,32.9,2,10,2022,46:66:230394:480,"[{""owner_id"": 137, ""share"": 1.0}]"
31,"с. Торжок, пер. Матросова, д. 354 к. 844, 324491",Дом,110.1,4,15,1960,86:15:553014:753,"[{""owner_id"": 207, ""share"": 1.0}]"
32,"п. Владикавказ, пер. Тукая, д. 10, 070534",Квартира,36.4,5,19,1952,96:44:704238:42,"[{""owner_id"": 129, ""share"": 1.0}]"
33,"д. Грозный, наб. Рябиновая, д. 876 к. 2, 415131",Дом,184.9,2,19,2005,91:72:195674:482,"[{""owner_id"": 90, ""share"": 0.52}, {""owner_id"": 241, ""share"": 0.48}]"
34,"д. Нарткала, пр. Уральский, д. 1 к. 2/9, 380032",Дом,140.6,2,11,2002,98:73:402218:679,"[{""owner_id"": 171, ""share"": 1.0}]"
35,"клх Каменск-Уральский, пр. Деповский, д. 3/8 к. 3, 183061",Квартира,194.6,4,17,1950,94:79:584417:424,"[{""owner_id"": 282, ""share"": 0.17}, {""owner_id"": 19, ""share"": 0.26}, {""owner_id"": 233, ""share"": 0.57}]"
36,"клх Избербаш, пр. Механический, д. 4/6, 824347",Дом,132.1,4,21,2006,16:36:380028:563,"[{""owner_id"": 266, ""share"": 1.0}]"
37,"д. Новомосковск, пр. Калинина, д. 531 стр. 8/6, 612751",Дом,178.6,4,4,1953,90:87:938141:246,"[{""owner_id"": 148, ""share"": 1.0}]"
38,"клх Губкин, ш. Восьмого Марта, д. 4/1 к. 5, 608545",Дом,36.8,1,15,1965,92:29:622584:956,"[{""owner_id"": 160, ""share"": 0.11}, {""owner_id"": 283, ""share"": 0.89}]"
39,"ст. Саратов, пр. Троицкий, д. 447 к. 1, 763928",Дом,196.4,2,15,2020,28:59:299869:944,"[{""owner_id"": 261, ""share"": 0.43}, {""owner_id"": 140, ""share"": 0.57}]"
40,"д. Щелково, алл. Южная, д. 661 к. 9, 083583",Квартира,69.7,4,11,2014,44:10:396578:744,"[{""owner_id"": 70, ""share"": 1.0}]"
41,"ст. Киржач, ш. Алтайское, д. 6 к. 4/9, 000818",Коммерческое,108.1,2,15,2018,71:54:448588:566,"[{""owner_id"": 297, ""share"": 1.0}]"
42,"г. Енисейск, наб. Железнодорожная, д. 13 к. 2, 624111",Квартира,196.5,2,19,1999,39:62:145767:326,"[{""owner_id"": 194, ""share"": 0.85}, {""owner_id"": 234, ""share"": 0.15}]"
